,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT
2026-06-01,0.06566835108848858,2.0903354713871964,-0.17277748960149023,0.09360555574345868,0.17431665928548298,0.308568614415531,1.6705466503208057,0.7265554375278755,-1.4697358615388472,-0.4198295658339178,0.3702733157168352,1.0859008813199726
2026-07-01,-0.18066211375795768,2.2255673301469803,-0.5748412815149138,-0.8397961271589472,0.38706895397099106,0.0394535695943574,1.7091573061258885,-0.18417222260712382,-1.2510330948065624,-0.5783324649887808,0.18152627868552365,1.1644551455356025
2026-08-01,-0.32097636912117006,2.2491334914297947,-0.7778442815737593,-1.3818915855839684,0.5565875077930732,-0.2256885983361887,1.7508482292739138,-0.7182018778883675,-0.8407473235652893,-0.596023396148076,0.06311032144596868,0.9439299933435898
2026-09-01,-0.26357535900903867,2.2757880945959887,-0.9193739643627078,-1.765481905858975,0.7355357685332079,-0.4925285065904257,1.7254692248322874,-1.0437842319965525,-0.5488408971371463,-0.4254806000947764,-0.1144041570527342,0.733764121342123
2026-10-01,-0.2381795789225296,2.247815605947689,-1.0681264572193332,-1.9752722670743983,0.9103920945303909,-0.6983862769538475,1.708678163423711,-1.235180486275891,-0.5237216920709227,-0.30315048713003256,-0.19848407775681606,0.6411186982029125
2026-11-01,-0.23857538051420613,2.2781559038475443,-1.2401685620808423,-2.2066375649651393,1.0989854607207334,-0.8802538188693646,1.707764924772264,-1.3627676985483994,-0.6296641688628714,-0.440237821816351,-0.4051166058563491,0.6967721414569826
2026-12-01,-0.24094803986719646,2.1640993475580763,-1.2227004838024902,-2.400188703411963,1.2416574673720617,-1.0018731985204268,1.7488787429883492,-1.4760148231934966,-0.6639164107700378,-0.5663714309892084,-0.5814314285646828,0.7953903699125583
2027-01-01,-0.24644817426602483,1.9393406937046913,-1.1334696579112622,-2.6157083789651403,1.1740548700905526,-1.0615623732714612,1.643033864081721,-1.5802681005414623,-0.7771851856041104,-0.8094354523607166,-0.6116865650581764,0.6773327461033304
2027-02-01,-0.2203125928207356,1.4110249519401457,-1.105045528015223,-2.5879969984727933,0.9362072505570754,-0.7661456876459742,1.2096273383164415,-1.5565533602898995,-0.9064298977858405,-0.942551291923516,-0.4839201633983641,0.3870669531554094
2027-03-01,-0.3524684578145976,0.8300384845357741,-1.103674264510884,-2.3658202487174935,0.5944538380165906,-0.47511345389149245,0.4945823024631399,-1.4306958380064785,-1.0453255754059654,-1.1231063428824561,-0.38960723002482595,0.12307069823672556
2027-04-01,-0.5600540062440985,0.3300404153614986,-0.9007968118749622,-2.028859552170253,0.27016045663799626,-0.11809397935731451,-0.02659689974122879,-1.2744602368850717,-1.124545949512869,-1.1089785709406959,-0.3662739473999987,0.08993699551937313
2027-05-01,-0.7785070783865774,-0.3890941906355137,-0.5503363955351049,-1.7972239163612234,-0.07529193967228932,0.0024675609054474142,-0.5075132271676327,-1.2906767867285496,-1.0242456091203718,-1.0092513429314727,-0.30484381470516875,-0.06709837482388294
2027-06-01,-0.7765034577846053,-1.310388013958029,-0.21397282198965786,-1.6471552428566927,-0.30994829926136963,0.12381600672123617,-0.8645632943273606,-1.3993795612347437,-0.7646486881685682,-0.9237300544138686,-0.18223470733779465,-0.451447990569982
2027-07-01,-0.7234519841634285,-2.1276462890852446,-0.10866238575393776,-1.4427672372543048,-0.5434654353227287,0.24547085578465863,-1.2903863633834474,-1.393801204182908,-0.3650037020898891,-1.0104449843466878,-0.07884347347118054,-0.9072604060240437
2027-08-01,-0.7286250771589667,-2.422666251881924,-0.027003176459940114,-1.0756564622437559,-0.7637784662930901,0.36830396939540977,-1.4362081654447458,-1.491332100462852,-0.0876576738747954,-1.1178909593236048,0.025770306917221115,-1.00011297160715
2027-09-01,-0.7952317938354763,-2.489253446967794,0.018173268852064283,-0.8971532503260491,-1.094049249460148,0.5460937248360241,-1.4987366674227205,-1.560834164983345,-0.027856362437095095,-1.1825263165409687,0.002415904294397415,-1.0687841701961478
2027-10-01,-0.958561602491979,-2.608450754199516,0.0296141547803954,-0.9094680249649997,-1.4746638379226606,0.8162821119473082,-1.598031781189965,-1.684269326972654,0.054861309962278636,-1.0028308399196921,0.04453959165828952,-0.9994426580448025
2027-11-01,-1.0484238384659337,-2.677621354893431,0.00020680877671001852,-1.0891931487406916,-1.7497898030389571,1.018334843812591,-1.7556053928670476,-1.8172974302720537,0.17932942517870465,-0.9238121806703093,-0.09931462793764369,-1.0120649094865488
2027-12-01,-1.0148815830587372,-2.5820457682534355,0.02882111958181831,-1.0889569397377337,-1.7885569671705326,1.1074432355935422,-1.9435618637788235,-1.9408376709771058,0.4075963491564765,-0.9244955102234087,-0.20357551064640242,-0.818942870534015
2028-01-01,-0.8391664274621524,-2.1960377386688816,0.1590491948438597,-0.9516764196739474,-1.558548454641004,0.9832741509032109,-2.329708113990834,-1.8834672938505996,0.5454662962576092,-1.2450921498412855,-0.4035568089158231,-0.5767721672398526
2028-02-01,-0.6951321773744817,-1.6706744268356735,0.33466837349170736,-0.7325231718798153,-1.3692133553077384,0.8680657620475084,-2.5654267403891855,-1.7372577127492421,0.6904319506219401,-1.664253565851806,-0.5063210744590375,-0.6064148541074424
2028-03-01,-0.7261050355028797,-0.95846774135119,0.28088871634869683,-0.48532837525797223,-1.2543542097664835,0.6330547508772729,-2.6141614729377713,-1.432537260322219,0.8053795269973413,-1.8786574724963152,-0.41321426052706095,-0.5935976419846236
2028-04-01,-0.6681177682641231,-0.5648666053164966,0.22991785483147162,-0.07973974413583151,-1.262652501335377,0.4107990239720745,-2.3780498129680887,-1.2736703290125784,1.0224969785071807,-1.7430377913936042,-0.29199133710754444,-0.7230728841383453
2028-05-01,-0.46804911076009365,-0.2942631873140503,0.32676630350789104,0.25292651461140303,-0.9920945656633519,-0.08974733863433478,-2.161718687198032,-0.8952136837515677,1.1454094642430175,-1.3456898713784218,-0.484754523990753,-0.9545729764489206
2028-06-01,-0.12229580344558362,-0.2504996077113501,0.5813218748218728,0.5096417587591331,-0.7077436854952248,-0.5784352120058998,-2.034816150127234,-0.5815150399293653,1.0104362080626805,-0.9243979989884368,-0.9119133723765485,-1.340872887603329
2028-07-01,0.01972776078045038,-0.13395749553736902,0.8241128135897652,0.6523201420683978,-0.3400870077493377,-1.049734174493073,-1.9952454459943316,-0.22108753998294192,0.8682225973881548,-0.5908122427095871,-1.1907098044107245,-1.691946475982055
2028-08-01,-0.006812726762910809,0.025941824598981016,0.8587498951450091,0.7838183639654401,-0.1993187010974976,-1.1143225504243797,-1.9599859279405465,0.06727899382154583,0.5545895539606943,-0.3705834756847937,-1.0365003351157303,-1.647262271669323
2028-09-01,-0.06273338422323621,0.33024267487810716,0.803494553110962,0.9414735313400376,-0.04503609310150742,-1.2105837335968181,-1.8793552826546112,0.3715995296576109,0.4685802099294672,-0.14823004285466845,-0.7785177919758057,-1.4724393862327865
2028-10-01,-0.14294288242309314,0.5467152328571867,0.6586494893548037,0.9636404510939872,-0.09127983071647146,-1.2021014162814772,-1.752156704081081,0.6218086214799846,0.29757584925941954,-0.08901983078533933,-0.6572233035297964,-1.2934016651198421
2028-11-01,-0.19041598709478316,0.6560135989821217,0.5511778937741034,1.0221226712603215,-0.2289243844243074,-1.2192815936069683,-1.6986621194742837,0.7743232003774266,0.19661826327329437,-0.05230369736928105,-0.7731749688721076,-1.2007705179323669
2028-12-01,-0.3291791290132247,0.591665990567786,0.5397644155314865,1.058653094677916,-0.5004781693298241,-1.0542123126115475,-1.604039741577519,0.8821670384717919,0.07247343153380954,-0.02370056588038986,-0.9983636895114038,-1.1447296137509346
2029-01-01,-0.2708073746804111,0.6029158466541396,0.44468800383839063,1.1346638564691138,-0.580934015244246,-0.8116002694916524,-1.364276940765425,1.1107667642792427,-0.03330505877716378,0.13401537091422266,-1.1064726891946268,-1.300585264938034
2029-02-01,-0.2125538772408869,0.5644915897632036,0.3702753196044928,1.1203591734591958,-0.5186998611731778,-0.522663539601787,-1.0337266156347908,1.34048920293044,0.017017310177142628,0.32846631005573407,-0.9135672204269727,-1.3023875058797205
2029-03-01,-0.021822224246747665,0.5143386787553852,0.46414806754494853,0.9806615160808567,-0.307409242944002,-0.3865143472975488,-0.755362068507447,1.5042161706907438,0.04050087442320951,0.49315879462642204,-0.8117539261402021,-1.1877112585925715
2029-04-01,0.13247264693811858,0.41243258706546143,0.47511910931646534,0.7720025191597543,-0.14482074888248048,-0.5655263569771359,-0.5098080758145321,1.634287831670295,-0.022230901009920808,0.48246677236829766,-0.8136705997476831,-0.8164927726439014
